?ID	?label	?type
"VO_0000000"	"part of pathogen organism in vaccine"	"Class"
"VO_0000001"	"vaccine"	"Class"
"VO_0000002"	"vaccination"	"Class"
"VO_0000003"	"ACAM2000 vaccine"	"Class"
"VO_0000004"	"ActHIB vaccine"	"Class"
"VO_0000005"	"Adacel vaccine"	"Class"
"VO_0000006"	"Afluria vaccine"	"Class"
"VO_0000007"	"Attenuvax vaccine"	"Class"
"VO_0000008"	"vaccine-induced lymphocyte activation"	"Class"
"VO_0000009"	"vaccine-induced B cell antigen processing and presentation"	"Class"
"VO_0000010"	"vaccine-induced B cell cytokine production"	"Class"
"VO_0000011"	"vaccine B cell epitope"	"Class"
"VO_0000012"	"vaccine-induced B cell mediated immunity"	"Class"
"VO_0000013"	"Bacillus anthracis vaccine"	"Class"
"VO_0000014"	"Biothrax vaccine"	"Class"
"VO_0000015"	"Boostrix vaccine"	"Class"
"VO_0000016"	"has vaccine conjugate protein"	"ObjectProperty"
"VO_0000017"	"killed vaccine"	"Class"
"VO_0000018"	"Brucella abortus DNA vaccine pcDNA-SOD"	"Class"
"VO_0000019"	"pVAX DNA vaccine plasmid"	"Class"
"VO_0000020"	"Brucella abortus strain RB51 vaccine vector"	"Class"
"VO_0000021"	"Brucella abortus vaccine RB51"	"Class"
"VO_0000022"	"Brucella abortus vaccine strain 19"	"Class"
"VO_0000023"	"Invitrogen"	"NamedIndividual"
"VO_0000024"	"pVAX1 DNA vaccine plasmid"	"Class"
"VO_0000025"	"Brucella vaccine"	"Class"
"VO_0000026"	"pCMV4 DNA vaccine plasmid"	"Class"
"VO_0000027"	"pAp031 DNA vaccine plasmid"	"Class"
"VO_0000028"	"Comvax vaccine"	"Class"
"VO_0000029"	"Daptacel vaccine"	"Class"
"VO_0000030"	"Decavac vaccine"	"Class"
"VO_0000031"	"MenHibrix vaccine"	"Class"
"VO_0000032"	"DNA vaccine"	"Class"
"VO_0000033"	"Diphtheria and Tetanus Toxoids Adsorbed USP by Sanofi Pasteur Inc"	"Class"
"VO_0000034"	"obsolete Diphtheria and Tetanus Toxoids Adsorbed by Sanofi Pasteur Ltd"	"Class"
"VO_0000035"	"Dryvax vaccine"	"Class"
"VO_0000036"	"ETEC vaccine ACAM2010"	"Class"
"VO_0000037"	"adenovirus vaccine"	"Class"
"VO_0000038"	"vaccine persistence assay"	"Class"
"VO_0000039"	"pBacPAK9 DNA vaccine plasmid"	"Class"
"VO_0000040"	"pBC12/CMV DNA vaccine plasmid"	"Class"
"VO_0000041"	"Escherichia coli vaccine"	"Class"
"VO_0000042"	"pBHT DNA vaccine plasmid"	"Class"
"VO_0000043"	"FluLaval"	"Class"
"VO_0000044"	"FluMist"	"Class"
"VO_0000045"	"Fluarix vaccine"	"Class"
"VO_0000046"	"Fluvirin"	"Class"
"VO_0000047"	"Fluzone"	"Class"
"VO_0000048"	"virmugen"	"Class"
"VO_0000049"	"Gardasil vaccine"	"Class"
"VO_0000050"	"HIV based lentivirus vaccine vector"	"Class"
"VO_0000051"	"Balb/c mouse"	"Class"
"VO_0000052"	"Havrix vaccine"	"Class"
"VO_0000053"	"Neisseria meningitidis vaccine"	"Class"
"VO_0000054"	"IPOL vaccine"	"Class"
"VO_0000055"	"vaccine related journal article"	"Class"
"VO_0000056"	"United Vaccines, Inc"	"NamedIndividual"
"VO_0000057"	"Heska Corporation"	"NamedIndividual"
"VO_0000058"	"Texas Vet lab, Inc"	"NamedIndividual"
"VO_0000059"	"SolidTech Animal Health, Inc"	"NamedIndividual"
"VO_0000060"	"MVP Laboratories, Inc"	"NamedIndividual"
"VO_0000061"	"Addison Biological Laboratory, Inc"	"NamedIndividual"
"VO_0000062"	"Neotech, LLC"	"NamedIndividual"
"VO_0000063"	"Imovax Rabies (USA)"	"Class"
"VO_0000064"	"Infanrix vaccine"	"Class"
"VO_0000065"	"influenza virus vaccine H5N1 (Sanofi Pasteur Inc)"	"Class"
"VO_0000066"	"JE-Vax vaccine"	"Class"
"VO_0000067"	"Kinrix vaccine"	"Class"
"VO_0000068"	"Listeria monocytogenes vaccine vector"	"Class"
"VO_0000069"	"M-M-R II vaccine"	"Class"
"VO_0000070"	"M-M-Vax"	"Class"
"VO_0000071"	"Menactra vaccine"	"Class"
"VO_0000072"	"Menomune A/C/Y/W-135 vaccine"	"Class"
"VO_0000073"	"Meruvax II vaccine"	"Class"
"VO_0000074"	"Mumpsvax vaccine"	"Class"
"VO_0000075"	"pBI/tTA DNA vaccine plasmid"	"Class"
"VO_0000076"	"pBISIA DNA vaccine plasmid"	"Class"
"VO_0000077"	"Mycobacterium tuberculosis vaccine"	"Class"
"VO_0000078"	"Mycobax"	"Class"
"VO_0000079"	"Fluzone High-dose"	"Class"
"VO_0000080"	"pBK-SFV DNA vaccine plasmid"	"Class"
"VO_0000081"	"influenza A (H1N1) 2009 Monovalent Vaccine (Novartis)"	"Class"
"VO_0000082"	"Pediarix vaccine"	"Class"
"VO_0000083"	"PedvaxHIB vaccine"	"Class"
"VO_0000084"	"Pentacel vaccine"	"Class"
"VO_0000085"	"Plague Vaccine by Greer Laboratories Inc"	"Class"
